layer_c_id,layer_name,duration_ms
0,data_Transpose,23.532827377319336
1,data_Sub,15.316685676574707
2,conv1,369.36590576171875
3,relu_conv1,111.88643646240234
4,pool1,64.69859313964844
5,fire2_squeeze1x1,38.6104621887207
6,fire2_relu_squeeze1x1,8.57089900970459
7,fire2_expand3x3,263.96844482421875
8,fire2_relu_expand3x3,44.3681755065918
9,fire2_expand1x1,57.18606948852539
10,fire2_relu_expand1x1,44.3673095703125
11,fire2_concat,41.49258804321289
12,fire3_squeeze1x1,87.2643814086914
13,fire3_relu_squeeze1x1,8.59164810180664
14,fire3_expand3x3,263.67431640625
15,fire3_relu_expand3x3,44.36948013305664
16,fire3_expand1x1,57.03029251098633
17,fire3_relu_expand1x1,44.36988830566406
18,fire3_concat,41.37211608886719
19,pool3,29.711851119995117
20,fire4_squeeze1x1,33.1026611328125
21,fire4_relu_squeeze1x1,4.290172576904297
22,fire4_expand3x3,245.5466766357422
23,fire4_relu_expand3x3,17.198272705078125
24,fire4_expand1x1,35.83890914916992
25,fire4_relu_expand1x1,16.926753997802734
26,fire4_concat,20.497447967529297
27,fire5_squeeze1x1,86.7094497680664
28,fire5_relu_squeeze1x1,4.249182224273682
29,fire5_expand3x3,245.79339599609375
30,fire5_relu_expand3x3,17.17656898498535
31,fire5_expand1x1,35.967857360839844
32,fire5_relu_expand1x1,17.161344528198242
33,fire5_concat,20.50908660888672
34,pool5,15.10982608795166
35,fire6_squeeze1x1,26.481185913085938
36,fire6_relu_squeeze1x1,1.5567198991775513
37,fire6_expand3x3,151.00735473632812
38,fire6_relu_expand3x3,6.370294570922852
39,fire6_expand1x1,20.619966506958008
40,fire6_relu_expand1x1,6.44327449798584
41,fire6_concat,7.683514595031738
42,fire7_squeeze1x1,44.99247741699219
43,fire7_relu_squeeze1x1,1.5829200744628906
44,fire7_expand3x3,151.5135498046875
45,fire7_relu_expand3x3,6.21419095993042
46,fire7_expand1x1,20.53917121887207
47,fire7_relu_expand1x1,6.427356243133545
48,fire7_concat,7.68584680557251
49,fire8_squeeze1x1,59.205867767333984
50,fire8_relu_squeeze1x1,2.0851638317108154
51,fire8_expand3x3,275.45599365234375
52,fire8_relu_expand3x3,8.558494567871094
53,fire8_expand1x1,34.94829177856445
54,fire8_relu_expand1x1,8.367203712463379
55,fire8_concat,10.222461700439453
56,fire9_squeeze1x1,98.89544677734375
57,fire9_relu_squeeze1x1,2.107590913772583
58,fire9_expand3x3,243.6959686279297
59,fire9_relu_expand3x3,8.263650894165039
60,fire9_expand1x1,34.944679260253906
61,fire9_relu_expand1x1,8.542200088500977
62,fire9_concat,10.228577613830566
63,conv10,9.23910140991211
64,relu_conv10,0.16818000376224518
65,pool10,0.022014545276761055
66,prob,0.0020581819117069244
